Date,Time,Focus,Energy,Stress,day_num,focus_trend,stress_trend,energy_trend
2025-12-29,10:20 PM,4,3,1,0,5.499999999999997,1.833333333333332,6.499999999999996
2026-01-03,07:58 PM,8,9,4,1,5.571428571428569,1.9166666666666656,6.4999999999999964
2026-01-20,12:06 PM,6,8,2,2,5.642857142857141,1.9999999999999991,6.4999999999999964
2026-01-22,04:17 PM,6,9,1,3,5.714285714285713,2.0833333333333326,6.499999999999997
2026-04-28,12:14 AM,4,3,2,4,5.785714285714285,2.166666666666666,6.499999999999997
2026-05-19,06:01 PM,7,9,2,5,5.857142857142857,2.25,6.499999999999998
2026-05-27,09:36 PM,2,4,1,6,5.928571428571428,2.333333333333333,6.499999999999998
2026-06-13,09:29 PM,9,7,4,7,6.0,2.4166666666666665,6.499999999999999
